sample_id	para_id	seq	word_count	missed_claims	note	text
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0237	237	20			Figure 6: Most models and users have longer median inputs than outputs, but vary substantially across groups. Model rank 41
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0260	260	136			Figure 7: Thirty-day user-access rasters for two popular models. Models with similar popularity can exhibit different usage patterns from individual users. input-heavy, receiving long prompts but producing shorter outputs, while others are output-heavy, generating responses that are large relative to their inputs. The user view in Figure 6b is more concentrated, but still spans a broad range. Some users consistently send short prompts, while others work with much larger contexts; output lengths also vary substantially. Taken together, request count and token shape describe different aspects of workload behavior. A model or user with a similar number of requests may still impose very different serving costs depending on whether their traffic is input-heavy, output-heavy, or more balanced. Together, these results show that models and users with similar traffic can still place very different demands on the system.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0284	284	25			Figure 5: Requests and model usage at the model and user level. Models and users with similar request volumes can differ substantially in access breadth.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0341	341	83			Persistent bursts create colocation opportunities. These patterns may matter for placement and autoscaling. Many lowertraffic models have busy and quiet periods that often persist for some time. This creates opportunities to colocate or multiplex models whose active windows do not overlap, rather than provisioning each sparse model as if it required dedicated capacity at all times. Finding 2: Model burstiness is often persistent and correlated. Busy periods and quiet periods tend to persist. This context may help autoscaling and colocation policies anticipate load.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0347	347	26			Figure 10: Monthly model mix among the top models by request and token share. Dominant models and their token shares are becoming more diverse over time.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0352	352	26			Finding 1: Users and models exhibit distinct temporal access patterns which can be used to inform serving decisions, including caching, routing, model placement, and capacity provisioning.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0357	357	21			Figure 9: Model request load and burstiness. Most models are bursty and show positive correlation, indicating persisting high-activity and low-activity periods.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0384	384	23			In this section, we discuss how the workload evolved over the year, focusing on model usage (Section 5.1) and token shape (Section 5.2).
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0386	386	151			Dominant models turn over. The set of dominant models changes substantially over the year. Figure 10 shows the monthly share of traffic contributed by the top models, with the “Others” bucket capturing the remaining share. In the early months, traffic is dominated by DeepSeek models, such as DeepSeek-V3-0324 and DeepSeek-R1. Their shares decline over time, while newer models such as Qwen3-32B and DeepSeek-V3.2 become more prominent later on. The token-weighted view also shows the same trend. Traffic spreads across more models over time. Model usage also becomes more diverse over time. The “Others” band grows in both panels, showing that a larger fraction of requests and tokens comes from the non-dominant models. As more models are released and adopted, traffic spreads across a wider range of models rather than remaining concentrated in a small group of dominant ones. This matters for system design as optimizations tuned to the most-used models in
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0407	407	26			Figure 11: Monthly input (a) and output (b) tokenlength bands (P10–P90, P25–P75, median). Global input tend to stay stable while output tends to drop over time.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0430	430	55			Figure 12: Per-user median input (a) and output (b) by release cohort, with P10–P90 and P25–P75 bands. Later user cohorts shift toward larger inputs and outputs Finding 3: Both model usage and token profiles change over time. Dominant models turn over, global outputs become shorter, and newer user show larger and more variable token lengths.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0500	500	32			Figure 13: Cache behavior at three levels. Request-level cached-token fractions are bimodal and have distinctive characteristics across input lengths and model types. Models and users also have varying degrees of cacheability. 103
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0522	522	20			Figure 16: 99% of reuse arrives within 15 minutes of the previous request. Cache locality is concentrated at short timescales.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0540	540	43			Figure 17: Token hit ratio for seven eviction algorithms on workloads from two representative models. SOTA algorithms often perform similar or worse than FIFO and LRU. The size-aware Belady sets an upper bound for MiniMax-M2.5 but retains a persistent gap on DeepSeek V3.2.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0541	541	40			Finding 4: Cache reuse is common but uneven. Requestlevel cached fractions are bimodal and vary across models and users. Arrival locality is highly skewed but most repeat arrivals occurs at short timescales. 99% requests return within a 15 minutes period.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0567	567	38			7 Load Balancing 7.1 Production Systems We now ask whether requests within a single popular model are evenly distributed across the instances that serve it. We will be using DeepSeek-V3 as the case study throughout a 2-month period.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0602	602	44			Figure 18: Workload and balance for DeepSeek-V3.2. (a) Request rate stays roughly stationary (b) while replicas trend downward. (c) Per-hour max/mean drifts upward as the fleet shrinks and (d) per-instance occupancy on the busiest day is balanced on average but episodically broken. DeepSeek-V3-0324-TEE DeepSeek-V3.2-TEE
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0683	683	29			more capacity, and earlier for MiniMax-M2.5, whose reusable state is easier to retain. Thus, larger caches allow cache_first to improve reuse while keeping each session concentrated on fewer replicas.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0684	684	39			Finding 7: LLM serving faces a fundamental tension between cache locality and load balance. Cache-aware routing improves reuse and reduces cross-instance KV duplication with modest imbalance. Larger caches alone cannot recover reuse when routing scatters session state across replicas.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0692	692	99			We present and release a one-year production trace of LLM serving and use it to characterize workload evolution, user– model interactions, prefix caching, and load-balancing behavior. Our analysis shows that production LLM workloads are dynamic and heterogeneous: demand evolves over time, users and models exhibit diverse usage patterns, and cache locality is unevenly distributed across the workload. We further find that prefix caching and load balancing are closely coupled, creating a fundamental tradeoff between preserving reuse and distributing requests evenly. These results highlight the need for trace-driven serving-system designs that account for temporal evolution, workload structure, and cache-aware routing.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0694	694	585			References [1] [n. d.]. libCacheSim: A high-performance cache simulator. https: //github.com/1a1a11a/libCacheSim. Accessed: 2025-12-01. [2] Amey Agrawal, Nitin Kedia, Ashish Panwar, Jayashree Mohan, Nipun Kwatra, Bhargav S. Gulavani, Alexey Tumanov, and Ramachandran Ramjee. 2024. Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve. In 18th USENIX Symposium on Operating Systems Design and Implementation (OSDI 24). 117–134. [3] Nathan Beckmann, Haoxian Chen, and Asaf Cidon. 2018. LHD: Improving Cache Hit Rate by Maximizing Hit Density. In 15th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2018, Renton, WA, USA, April 9-11, 2018, Sujata Banerjee and Srinivasan Seshan (Eds.). USENIX Association, 389–403. https://www.usenix.org/ conference/nsdi18/presentation/beckmann [4] L. A. Belady. 1966. A study of replacement algorithms for a virtualstorage computer. IBM Systems Journal 5, 2 (1966), 78–101. doi:10. 1147/sj.52.0078 [5] Ludmila Cherkasova. 1998. Improving WWW proxies performance with greedy-dual-size-frequency caching policy. Citeseer. [6] Andrew Chung, Subru Krishnan, Konstantinos Karanasos, Carlo Curino, and Gregory R Ganger. 2020. Unearthing inter-job dependencies for better cluster scheduling. In 14th USENIX Symposium on Operating Systems Design and Implementation (OSDI 20). 1205–1223. [7] DeepSeek-AI, Daya Guo, Dejian Yang, Haowei Zhang, Junxiao Song, Ruoyu Zhang, Runxin Xu, Qihao Zhu, Shirong Ma, Peiyi Wang, Xiao Bi, Xiaokang Zhang, Xingkai Yu, Yu Wu, Z. F. Wu, Zhibin Gou, Zhihong Shao, Zhuoshu Li, Ziyi Gao, Aixin Liu, Bing Xue, Bingxuan Wang, Bochao Wu, Bei Feng, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Qu, Hui Li, Jianzhong Guo, Jiashi Li, Jiawei Wang, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, J. L. Cai, Jiaqi Ni, Jian Liang, Jin Chen, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Liang Zhao, Litong Wang, Liyue Zhang, Lei Xu, Leyi Xia, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Meng Li, Miaojun Wang, Mingming Li, Ning Tian, Panpan Huang, Peng Zhang, Qiancheng Wang, Qinyu Chen, Qiushi Du, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, R. J. Chen, R. L. Jin, Ruyi Chen, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shengfeng Ye, Shiyu Wang, Shuiping Yu, Shunfeng Zhou, Shuting Pan, S. S. Li, Shuang Zhou, Shaoqing Wu, Shengfeng Ye, Tao Yun, Tian Pei, Tianyu Sun, T. Wang, Wangding Zeng, Wanjia Zhao, Wen Liu, Wenfeng Liang, Wenjun Gao, Wenqin Yu, Wentao Zhang, W. L. Xiao, Wei An, Xiaodong Liu, Xiaohan Wang, Xiaokang Chen, Xiaotao Nie, Xin Cheng, Xin Liu, Xin Xie, Xingchao Liu, Xinyu Yang, Xinyuan Li, Xuecheng Su, Xuheng Lin, X. Q. Li, Xiangyue Jin, Xiaojin Shen, Xiaosha Chen, Xiaowen Sun, Xiaoxiang Wang, Xinnan Song, Xinyi Zhou, Xianzu Wang, Xinxia Shan, Y. K. Li, Y. Q. Wang, Y. X. Wei, Yang Zhang, Yanhong Xu, Yao Li, Yao Zhao, Yaofeng Sun, Yaohui Wang, Yi Yu, Yichao Zhang, Yifan Shi, Yiliang Xiong, Ying He, Yishi Piao, Yisong Wang, Yixuan Tan, Yiyang Ma, Yiyuan Liu, Yongqiang Guo, Yuan Ou, Yuduan Wang, Yue Gong, Yuheng Zou, Yujia He, Yunfan Xiong, Yuxiang Luo, Yuxiang You, Yuxuan Liu, Yuyang Zhou, Y. X. Zhu, Yanhong Xu, Yanping Huang, Yaohui Li, Yi Zheng, Yuchen Zhu, Yunxian Ma, Ying Tang, Yukun Zha, Yuting Yan, Z. Z. Ren, Zehui Ren, Zhangli Sha, Zhe Fu, Zhean Xu, Zhenda Xie, Zhengyan Zhang, Zhewen Hao, Zhicheng Ma, Zhigang Yan, Zhiyu Wu, Zihui Gu, Zijia Zhu, Zijun Liu, Zilin Li, Ziwei Xie, Ziyang Song, Zizheng Pan, Zhen Huang, Zhipeng Xu, Zhongyu Zhang, and Zhen Zhang. 2025.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0695	695	617			Conference’17, July 2017, Washington, DC, USA DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning. doi:10.48550/arXiv.2501.12948 arXiv:2501.12948 [cs]. [8] DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Bingxuan Wang, Bochao Wu, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Daya Guo, Dejian Yang, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Haowei Zhang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Li, Hui Qu, J. L. Cai, Jian Liang, Jianzhong Guo, Jiaqi Ni, Jiashi Li, Jiawei Wang, Jin Chen, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, Junxiao Song, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Lei Xu, Leyi Xia, Liang Zhao, Litong Wang, Liyue Zhang, Meng Li, Miaojun Wang, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingming Li, Ning Tian, Panpan Huang, Peiyi Wang, Peng Zhang, Qiancheng Wang, Qihao Zhu, Qinyu Chen, Qiushi Du, R. J. Chen, R. L. Jin, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, Runxin Xu, Ruoyu Zhang, Ruyi Chen, S. S. Li, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shaoqing Wu, Shengfeng Ye, Shengfeng Ye, Shirong Ma, Shiyu Wang, Shuang Zhou, Shuiping Yu, Shunfeng Zhou, Shuting Pan, T. Wang, Tao Yun, Tian Pei, Tianyu Sun, W. L. Xiao, Wangding Zeng, Wanjia Zhao, Wei An, Wen Liu, Wenfeng Liang, Wenjun Gao, Wenqin Yu, Wentao Zhang, X. Q. Li, Xiangyue Jin, Xianzu Wang, Xiao Bi, Xiaodong Liu, Xiaohan Wang, Xiaojin Shen, Xiaokang Chen, Xiaokang Zhang, Xiaosha Chen, Xiaotao Nie, Xiaowen Sun, Xiaoxiang Wang, Xin Cheng, Xin Liu, Xin Xie, Xingchao Liu, Xingkai Yu, Xinnan Song, Xinxia Shan, Xinyi Zhou, Xinyu Yang, Xinyuan Li, Xuecheng Su, Xuheng Lin, Y. K. Li, Y. Q. Wang, Y. X. Wei, Y. X. Zhu, Yang Zhang, Yanhong Xu, Yanhong Xu, Yanping Huang, Yao Li, Yao Zhao, Yaofeng Sun, Yaohui Li, Yaohui Wang, Yi Yu, Yi Zheng, Yichao Zhang, Yifan Shi, Yiliang Xiong, Ying He, Ying Tang, Yishi Piao, Yisong Wang, Yixuan Tan, Yiyang Ma, Yiyuan Liu, Yongqiang Guo, Yu Wu, Yuan Ou, Yuchen Zhu, Yuduan Wang, Yue Gong, Yuheng Zou, Yujia He, Yukun Zha, Yunfan Xiong, Yunxian Ma, Yuting Yan, Yuxiang Luo, Yuxiang You, Yuxuan Liu, Yuyang Zhou, Z. F. Wu, Z. Z. Ren, Zehui Ren, Zhangli Sha, Zhe Fu, Zhean Xu, Zhen Huang, Zhen Zhang, Zhenda Xie, Zhengyan Zhang, Zhewen Hao, Zhibin Gou, Zhicheng Ma, Zhigang Yan, Zhihong Shao, Zhipeng Xu, Zhiyu Wu, Zhongyu Zhang, Zhuoshu Li, Zihui Gu, Zijia Zhu, Zijun Liu, Zilin Li, Ziwei Xie, Ziyang Song, Ziyi Gao, and Zizheng Pan. 2025. DeepSeekV3 Technical Report. doi:10.48550/arXiv.2412.19437 arXiv:2412.19437 [cs]. [9] Andrew D Ferguson, Peter Bodik, Srikanth Kandula, Eric Boutin, and Rodrigo Fonseca. 2012. Jockey: guaranteed job latency in data parallel clusters. In Proceedings of the 7th ACM european conference on Computer Systems. 99–112. [10] In Gim, Guojun Chen, Seung-seob Lee, Nikhil Sarda, Anurag Khandelwal, and Lin Zhong. 2024. Prompt Cache: Modular Attention Reuse for Low-Latency Inference. In Proceedings of Machine Learning and Systems, Vol. 6. [11] Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, and Ion Stoica. 2023. Efficient Memory Management for Large Language Model Serving with PagedAttention. In Proceedings of the ACM SIGOPS 29th Symposium on Operating Systems Principles (SOSP). [12] Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, and Ion Stoica. 2023. Efficient Memory Management for Large Language Model Serving with PagedAttention. In Proceedings of the 29th Symposium on Operating Systems Principles. 611–626. [13] Yuhan Liu, Yihua Cheng, Jiayi Yao, Yuwei An, Xiaokun Chen, Shaoting Feng, Yuyang Huang, Samuel Shen, Rui Zhang, Kuntai Du, et al.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0696	696	535			Conference’17, July 2017, Washington, DC, USA 2025. Lmcache: An efficient KV cache layer for enterprise-scale LLM inference. arXiv preprint arXiv:2510.09665 (2025). [14] Nimrod Megiddo and Dharmendra S. Modha. 2003. ARC: A SelfTuning, Low Overhead Replacement Cache. In Proceedings of the FAST ’03 Conference on File and Storage Technologies, March 31 - April 2, 2003, Cathedral Hill Hotel, San Francisco, California, USA, Jeff Chase (Ed.). USENIX. http://www.usenix.org/events/fast03/tech/megiddo.html [15] MiniMax. 2026. MiniMax M2.5: Built for Real-World Productivity. https://www.minimax.io/news/minimax-m25. Accessed: 2026-05-15. [16] Pratyush Patel, Esha Choukse, Chaojie Zhang, Aashaka Shah, Íñigo Goiri, Saeed Maleki, and Ricardo Bianchini. 2024. Splitwise: Efficient Generative LLM Inference Using Phase Splitting. In Proceedings of the 51st Annual International Symposium on Computer Architecture. [17] Ruoyu Qin, Zheming Li, Weiran He, Mingxing Zhang, Yongwei Wu, Weimin Zheng, and Xinran Xu. 2025. Mooncake: A KVCache-Centric Disaggregated Architecture for LLM Serving. In 23rd USENIX Conference on File and Storage Technologies (FAST 25). 155–170. [18] Haoran Qiu, Anish Biswas, Zihan Zhao, Jayashree Mohan, Alind Khare, Esha Choukse, Íñigo Goiri, Zeyu Zhang, Haiying Shen, Chetan Bansal, Ramachandran Ramjee, and Rodrigo Fonseca. 2025. ModServe: Scalable and Resource-Efficient Large Multimodal Model Serving. doi:10.48550/ arXiv.2502.00937 arXiv:2502.00937 [cs]. [19] Zhenyu Song, Daniel S. Berger, Kai Li, and Wyatt Lloyd. 2020. Learning Relaxed Belady for Content Distribution Network Caching. In 17th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2020, Santa Clara, CA, USA, February 25-27, 2020, Ranjita Bhagwan and George Porter (Eds.). USENIX Association, 529–544. https://www. usenix.org/conference/nsdi20/presentation/song [20] Vikranth Srivatsa, Zijian He, Reyna Abhyankar, Dongming Li, and Yiying Zhang. 2025. Efficient Distributed Prompt Scheduling for LLM Serving. In International Conference on Learning Representations. [21] Jiahao Wang, Jinbo Han, Xingda Wei, Sijie Shen, Dingyan Zhang, Chenguang Fang, Rong Chen, Wenyuan Yu, and Haibo Chen. 2025. KVCache Cache in the Wild: Characterizing and Optimizing KVCache Cache at a Large Cloud Provider. In 2025 USENIX Annual Technical Conference (USENIX ATC 25). USENIX Association, Boston, MA. [22] Jiahao Wang, Jinbo Han, Xingda Wei, Sijie Shen, Dingyan Zhang, Chenguang Fang, Rong Chen, Wenyuan Yu, and Haibo Chen. 2025. KVCache Cache in the Wild: Characterizing and Optimizing KVCache Cache at a Large Cloud Provider. 465–482. https://www.usenix.org/ conference/atc25/presentation/wang-jiahao [23] Yuxin Wang, Yuhan Chen, Zeyu Li, Xueze Kang, Yuchu Fang, Yeju Zhou, Yang Zheng, Zhenheng Tang, Xin He, Rui Guo, Xin Wang, Qiang Wang, Amelie Chi Zhou, and Xiaowen Chu. 2025. BurstGPT: A Real-World Workload Dataset to Optimize LLM Serving Systems. In Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2 (KDD ’25). ACM, Toronto, ON, Canada. doi:10.1145/3711896.3737413 [24] Yuxin Wang, Yuhan Chen, Zeyu Li, Xueze Kang, Yuchu Fang, Yeju Zhou, Yang Zheng, Zhenheng Tang, Xin He, Rui Guo, Xin Wang, Qiang Wang, Amelie Chi Zhou, and Xiaowen Chu. 2025. BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems. doi:10.48550/arXiv.2401.17644 arXiv:2401.17644 [cs] version: 5. [25] Yuxing Xiang, Xue Li, Kun Qian, Wenyuan Yu, Ennan Zhai, and Xin Jin. 2025. ServeGen: Workload Characterization and Generation of Large Language Model Serving in Production. doi:10.48550/arXiv.2505.09999 arXiv:2505.09999 [cs]. [26] Juncheng Yang, Reza Karimi, Trausti Sæmundsson, Avani Wildani, and Ymir Vigfusson. 2017. Mithril: mining sporadic associations for cache prefetching. In Proceedings of the 2017 Symposium on Cloud Computing (SoCC’17). Association for Computing Machinery, New York, NY, USA, 66–79. doi:10.1145/3127479.3131210
